,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card,url
95,GD-51S1123SH,0.0,0,3,gigabyte,G5,26990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/gigabyte-g5-i5-gd51s1123sh?src=osp#top-tskt
96,NH.QD8SV.003,3.9,25,377,acer,Nitro 5 Gaming AN515 57 50FT,27490000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-50ft-i5-nhqd8sv003?src=osp#top-tskt
97,L1105T,0.0,0,2,asus,VivoBook Pro 15 OLED M3500QC,26590000.0,AMD,5600H,8.0,no,NVIDIA GeForce RTX3050,63.0,512.0,SSD,no,15.6,1920 x 1080,60,1.65,359.8,235.3,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-m3500qc-r5-l1105t?src=osp#top-tskt
98,82AS007BVN,3.3,11,81,lenovo,Yoga Duet 7 13IML05,25240000.0,Intel,10210U,8.0,no,Intel UHD Graphics,42.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,yes,no,yes,no,yes,no,yes,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13iml05-i5-82as007bvn?src=osp#top-tskt
99,70267062,0.0,0,2,dell,Inspiron 15 3511,26490000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX350,41.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.73,359.0,235.5,19.0,Windows 10,Plastic,no,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i7-70267062?src=osp#top-tskt
100,HN139T,3.5,10,199,asus,TUF Gaming FX506HCB,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn139t?src=osp#top-tskt
101,HN002T,5.0,9,360,asus,TUF Gaming FX506HC,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hc-i5-hn002t?src=osp#top-tskt
102,51S1121SH,0.0,0,24,gigabyte,Gaming G5,26990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/gigabyte-g5-i5-51s1121sh?src=osp#top-tskt
103,NH.QENSV.003,0.0,0,312,acer,Nitro 5 Gaming AN515 57 54MV,26490000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,57.5,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003?src=osp#top-tskt
104,278VN,0.0,0,1,msi,Gaming Bravo 15 B5DD,25490000.0,AMD,5800H,8.0,yes,AMD Radeon RX 5500M,52.0,512.0,SSD,no,15.6,1920 x 1080,60,2.35,359.0,259.0,24.95,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-bravo-15-b5dd-r7-278vn?src=osp#top-tskt
105,V4I7015W,3.0,3,161,dell,Vostro 3400,25990000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3400-i7-v4i7015w?src=osp#top-tskt
106,81Y4013UVN,4.0,12,271,lenovo,Ideapad Gaming 3 15IMH05,26990000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,45.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.2,359.0,249.6,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15imh05-i7-81y4013uvn?src=osp#top-tskt
107,KG538W,0.0,0,0,asus,ZenBook UX325EA,24290000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,13.3,1920 x 1080,60,1.14,304.2,203.0,13.9,Windows 11,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-ux325ea-i5-kg538w?src=osp#top-tskt
108,083VN,0.0,0,102,msi,Gaming Bravo 15 B5DD,24990000.0,AMD,5800H,8.0,yes,AMD Radeon RX 5500M,52.0,512.0,SSD,no,15.6,1920 x 1080,144,2.35,359.0,259.0,24.95,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-bravo-15-b5dd-r7-083vn?src=osp#top-tskt
109,NH.QBZSV.005,3.9,16,410,acer,Nitro 5 Gaming AN515 56 5256,25990000.0,Intel,11300H,16.0,yes,NVIDIA GeForce GTX 1650 4 GB,57.5,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-56-5256-i5-nhqbzsv005?src=osp#top-tskt
110,P105F004AGR,0.0,0,150,dell,Gaming G15 5515,24990000.0,AMD,5600H,8.0,yes,NVIDIA GeForce RTX3050,56.0,256.0,SSD,no,15.6,1920 x 1080,120,2.8,357.26,272.11,26.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r5-p105f004agr?src=osp#top-tskt
111,20VA000MVN,0.0,0,170,lenovo,ThinkBook 14s G2 ITL,24990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-thinkbook-14s-g2-itl-i7-20va000mvn?src=osp#top-tskt
112,20WE004CVN,0.0,0,208,lenovo,ThinkBook 14s Yoga ITL,24790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,60.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-thinkbook-14s-yoga-itl-i5-20we004cvn?src=osp#top-tskt
113,70251593,0.0,0,140,dell,Latitude 3520,24690000.0,Intel,1135G7,,yes,Intel Iris Xe Graphics,41.0,256.0,SSD,yes,15.6,1920 x 1080,60,1.79,361.0,240.9,18.0,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-latitude-3520-i5-70251593?src=osp#top-tskt
