,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
55,P125G002N7306A,0.0,0,108,Dell,Inspiron 7306A,32990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,60.0,512.0,SSD,no,13.3,3840 x 2160,60,1.37,305.0,206.0,16.7,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
56,MGN73SA/A,0.0,0,89,Apple,MacBook Air M1 2020,34990000.0,Apple,M1,8.0,no,8 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
57,KA274T,0.0,0,0,Asus,ZenBook Duo UX482EA,32490000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,70.0,512.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
58,KA081T,4.0,1,26,Asus,ZenBook Duo UX482EA,32490000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,70.0,512.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
59,HN023T,0.0,0,261,Asus,TUF Gaming FX516PM,32490000.0,Intel,11370H,16.0,yes,NVIDIA GeForce RTX 3060,76.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
60,228VN,4.5,4,75,MSI,Gaming GF65 10UE,32490000.0,Intel,10750H,16.0,yes,NVIDIA GeForce RTX 3060 Max-Q,51.0,512.0,SSD,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
61,Z124000DE,4.0,4,99,Apple,MacBook Air M1 2020,33990000.0,Apple,M1,16.0,no,7 nhân GPU,,256.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
62,HN002T,1.0,1,11,Asus,TUF Gaming FX516PM,32490000.0,Intel,11370H,8.0,yes,NVIDIA GeForce RTX 3060,76.0,,,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
63,P89F002G3500B,0.0,0,25,Dell,Gaming G3,31990000.0,Intel,10750H,16.0,yes,NVIDIA GeForce GTX 1660Ti,68.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.58,364.46,254.0,30.96,Windows 10,Plastic,2020,yes,yes,yes,yes,no,yes,yes
64,L1046T,0.0,0,23,Asus,VivoBook Pro 15 OLED K3500PC,31990000.0,Intel,11370H,16.0,no,NVIDIA GeForce RTX3050,63.0,512.0,SSD,no,15.6,1920 x 1080,60,1.65,359.8,235.3,19.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
65,70261780,0.0,0,6,Dell,Latitude 3520,30990000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,yes,15.6,1920 x 1080,60,1.79,361.0,240.9,18.0,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
66,70258049,0.0,0,19,Dell,Gaming G15 5515,30990000.0,AMD,5800H,8.0,yes,NVIDIA GeForce RTX3050,56.0,512.0,SSD,no,15.6,1920 x 1080,120,2.81,357.2,272.1,26.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
67,N5I5012W,2.0,2,75,Dell,Inspiron 7501,30490000.0,Intel,10300H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,56.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.9,356.1,234.5,18.9,Windows 10,Metal,2020,yes,yes,yes,no,yes,yes,yes
68,N4I5134W,4.0,6,103,Dell,Inspiron 7400,30490000.0,Intel,1135G7,16.0,no,NVIDIA GeForce MX350,52.0,512.0,SSD,no,14.0,2560 x 1600,60,1.35,321.7,224.5,16.75,Windows 10,"Metal, Plastic",2020,yes,yes,yes,no,yes,yes,yes
69,KI439T,0.0,0,154,Asus,ZenBook UX425EA,30190000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,14.0,1920 x 1080,60,1.17,319.0,208.0,13.9,Windows 10,Metal,2020,yes,yes,no,no,yes,yes,yes
70,P89F002DBL,0.0,0,43,Dell,Gaming G3 15,29990000.0,Intel,10750H,16.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,51.0,,,yes,15.6,1920 x 1080,120,2.58,364.46,254.0,30.96,Windows 10,Plastic,2020,yes,yes,yes,yes,yes,yes,yes
71,441VN,0.0,0,5,MSI,Katana GF76 11UC,29990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,53.0,512.0,SSD,no,17.3,1920 x 1080,144,2.6,398.0,273.0,25.2,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
72,224VN,3.0,5,54,MSI,Katana Gaming GF66 11UC,29790000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,53.0,,,no,15.6,1920 x 1080,144,2.1,359.0,259.0,24.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
73,NH.QD9SV.001,0.0,0,237,Acer,Nitro 5 Gaming AN515 57 74NU,29690000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
74,4U6M4PA,0.0,0,7,HP,Envy 13 ba1535TU,29890000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,51.0,512.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 11,Metal,2021,yes,no,yes,no,yes,yes,yes
75,HX009T,0.0,0,20,Asus,TUF Gaming FX706HC,29490000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,48.0,,,yes,17.3,1920 x 1080,144,2.6,399.0,269.0,23.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
76,HN005T,5.0,4,57,Asus,TUF Gaming FX516PE,29490000.0,Intel,11370H,8.0,yes,NVIDIA GeForce RTX3050Ti,76.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
77,82AS007CVN,5.0,4,103,Lenovo,Yoga Duet 7 13IML05,29490000.0,Intel,10510U,8.0,no,Intel UHD Graphics,42.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,2020,yes,no,yes,no,yes,no,yes
78,82EV0016VN,2.3,6,61,Lenovo,YOGA Slim 7 Carbon 13ITL5,28590000.0,Intel,1135G7,16.0,no,Intel Iris Xe Graphics,50.0,512.0,SSD,no,13.3,2560 x 1600,60,0.966,295.88,208.85,15.0,Windows 10,"Aluminum, Carbon, Magnesium",2020,yes,no,yes,no,yes,no,no
79,82MA000PVN,0.0,0,7,Lenovo,Yoga Duet 7 13ITL6,28590000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,41.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,2021,yes,no,yes,no,yes,no,yes
80,82BH00CKVN,0.0,0,73,Lenovo,Yoga 7 14ITL5,28490000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,71.0,512.0,SSD,no,14.0,1920 x 1080,60,1.43,320.4,214.6,17.7,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,no
81,31J36PA,0.0,0,104,HP,Pavilion Gaming 15 dk1159TX,28490000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,52.5,32.0,SSD,yes,15.6,1920 x 1080,60,2.23,360.0,256.0,23.4,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
82,L1045T,0.0,0,14,Asus,VivoBook Pro 15 OLED K3500PC,28590000.0,Intel,11300H,16.0,no,NVIDIA GeForce RTX3050,63.0,512.0,SSD,no,15.6,1920 x 1080,60,1.65,359.8,235.3,19.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
83,HN141T,0.0,0,117,Asus,TUF Gaming FX506HCB,27990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,48.0,,,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
84,20WE004EVN,0.0,0,31,Lenovo,ThinkBook 14s Yoga ITL,27890000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,60.0,,,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
85,NX.H7HSV.002,0.0,0,101,Acer,Swift 5 SF514 53T 720R,27690000.0,Intel,8565U,8.0,no,Intel UHD Graphics 620,,256.0,SSD,no,14.0,1920 x 1080,60,0.94,329.0,228.0,14.9,Windows 10,"Aluminum, Magnesium",2018,yes,yes,yes,no,yes,yes,no
86,82A300DQVN,0.0,0,0,Lenovo,Yoga Slim 7 14ITL05,27490000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
87,NH.QD8SV.003,3.8,23,308,Acer,Nitro 5 Gaming AN515 57 50FT,27290000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
88,51S1121SH,0.0,0,19,Gigabyte,Gaming G5,26990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
89,82AS007BVN,3.5,8,71,Lenovo,Yoga Duet 7 13IML05,26590000.0,Intel,10210U,8.0,no,Intel UHD Graphics,42.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,2020,yes,no,yes,no,yes,no,yes
