PN,rating,rating_count,comment_count,name,price,CPU,RAM,RAM_upgradable,GPU,battery_wh,hard_drive,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
GV301QC-K6052T,5,1,54,Asus FLow Gaming GV301QC-K6052T/R9-5900HX,37999000,AMD Ryzen 9 - 5900HX,16 GB,Yes,Nvidia GeForce RTX3050 4GB,--,SSD 512 GB,Yes,"13.4""",1920 x 1200 Pixel,120 Hz,--,1.3,290,228,15.9,Windows 10,Hợp kim Magie và nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NR07H3-M00090,5,1,223,ASUS Gaming Zephyrus GA401IHR-HZ009T/R7-4800HS,25999000,AMD Ryzen 7 - 4800HS,8 GB,Yes,GeForce GTX 1650 4GB,150 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,1.6,324,222,17.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NB0RZ1-M13430,5,1,19,Asus Zenbook Flip UX363EA-HP548T/i7-1165G7,32999000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"13.3""",1920 x 1080 Pixel,60 Hz,OLED,1.3,305.2,211.5,13.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
518V7PA,5,1,121,HP 240 G8 i5 1135G7/518V7PA,18499000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.42,324,225,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NR0606-M03570,5,1,60,ASUS Gaming TUF FA506QM-HN016T/R7-5800H,31999000,AMD Ryzen 7 - 5800H,16 GB,Yes,Nvidia Geforce  RTX3060 6GB,90 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,2.39,359,256,24.4,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QBCSV.001,5,1,403,Acer Nitro Gaming AN515-45-R0B6/R7-5800H,31349000,AMD Ryzen 7 - 5800H,8 GB,Yes,GeForce RTX™ 3060 6GB DDR6,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
068VN,5,1,41,MSI Summit E16 Flip A11UCT i7 1195G7,44999000,Intel Core i7 - 1195G7,16 GB,Yes,NVIDIA® GeForce® RTX3050 4GB,100 W,SSD 1 TB,Yes,"16.0""",2560 x 1600 Pixel,120 Hz,LED Backlit,1.9,358.6,257.8,16.85,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QDQSV.001,nan,nan,nan,Acer Triton Gaming PT315-53-75LQ/i7-11800H,40590000,Intel Core i7 - 11800H,16 GB,Yes,Nvidia Geforce RTX3060 6GB,--,SSD 512 GB,Yes,"15.6""",2560 x 1440 Pixel,165 Hz,Acer ComfyView LED-backlit,2.0,350.72,255,19.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
46M00PA,5,1,323,HP Pavilion 15 eg0504TU i7 1165G7,22309000,Intel Core i7 - 1165G7,8 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare WLED-backlit,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X515EA-BQ1004T,5,2,383,Asus Vivobook X515EA-BQ1004T/i3-1115G4,14199000,Intel Core i3 - 1115G4,4 GB,Yes,Intel UHD Graphics,37 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.8,360,235,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
FX516PE-HN005T,5,3,259,ASUS Gaming TUF FX516PE-HN005T/i7-11370H,27999000,Intel Core i7 - 11370H,8 GB,Yes,Nvidia GeForce RTX3050Ti_4GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,2.072,360,252,19.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MK1A3SA/A,5,1,6,"MacBook Pro 16"" 2021 M1 Max 1TB",92990000,Apple M1 Max - --,32 GB,Yes,Apple M1 Max,--,SSD 1 TB,Yes,"16.2""",3456 x 2234 Pixel,--,--,2.129,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MK183SA/A,5,1,15,"MacBook Pro 16"" 2021 M1 Pro 512GB",65990000,Apple M1 Pro - --,16 GB,Yes,Apple M1 Pro,--,SSD 512 GB,Yes,"16.2""",3456 x 2234 Pixel,--,--,2.129,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MKGP3SA/A,5,1,38,"MacBook Pro 14"" 2021 M1 Pro 512GB",52990000,Apple M1 Pro - --,16 GB,Yes,Apple M1 Pro,--,SSD 512 GB,Yes,"14.2""",3024 x 1964 Pixel,--,--,1.604,--,--,--,Mac OS,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
3G1H5PA,5,1,0,HP EliteBook x360 1040 G8 i7 1165G7/3G1H5PA,48499000,Intel Core i7 - 1165G7,16 GB,Yes,Iris Xe Graphics,65 W,SSD 1 TB,Yes,"14.0""",1920 x 1080 Pixel,--,FHD Touch,1.39,320,203.19,16.4,Windows 10 Pro 64,--,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
MWP42SA/A,3,34,94,"MacBook Pro 13"" 2020 Touch Bar 2.0GHz Core i5",46999000,Intel Core i5 - 10th-gen,16 GB,Yes,Intel Iris Plus Graphics,--,SSD 512 GB,Yes,"13.3""",2560 x 1600 Pixel,--,"IPS LCD LED Backlit, True Tone",1.4,304.1,212.4,15.6,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
nan,nan,nan,nan,MSI Stealth Gaming GS66 10SE-407VN/i7-10750H,46990000,nan,16 GB,No,GeForce RTX 2060 6GB	,nan,SSD 512 GB,No,"15.6""",nan,nan,nan,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No
20UN007HVN,5,1,4,Lenovo Thinpad X1 Nano i5 1130G7,46499000,Intel Core i5 - 1130G7,16 GB,Yes,Intel Iris Xe Graphics,48 W,SSD 512 GB,Yes,"13.0""",--,60 Hz,Anti-glare LED-backlit,0.92,290,167,25,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QDSSV.001,5,1,13,Acer Triton Gaming PT315-53-71DJ/i7-11800H,45999000,Intel Core i7 - 11800H,16 GB,Yes,Nvidia Geforce RTX3070 8GB,--,SSD 512 GB,Yes,"15.6""",2560 x 1440 Pixel,165 Hz,Acer ComfyView LED-backlit,2.0,350.72,255,19.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
20XW0077VN,5,1,1,Lenovo ThinkPad X1 Carbon 9 i5 1135G7/20XW0077VN,45499000,Intel Core i5 - 1135G7,16 GB,Yes,Intel Iris Graphics,--,SSD 512 GB,Yes,"14.0""",1920 x 1200 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.13,319,216,14.9,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
20U9007YVN,5,1,54,Lenovo ThinkPad X1 Carbon 8 i5 10210U,42799000,Intel Core i5 - 10210U,16 GB,Yes,Card Onboard,--,nan,Yes,"14.0""",2560 x 1440 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.1,323,216,14.9,Windows 10,--,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
4Y0Z7PA,5,1,6,HP Gaming OMEN 16 b0141TX i5 11400H,42699000,Intel Core i5 - 11400H,16 GB,Yes,NVIDIA GeForce RTX 3060 6GB,200 W,SSD 1 TB,Yes,"16.1""",1920 x 1080 Pixel,144 Hz,IPS LCD,2.3,369,262,23.5,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0RZ2-M12520,5,1,1,Asus Zenbook UX371EA-HL494TS/i7-1165G7,40699000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 1 TB,Yes,"13.3""",3840 x 2160 Pixel,60 Hz,Anti-glare LED-backlit,1.2,305.2,212,13.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
Z11B,4,3,321,"MacBook Pro 13"" 2020 Touch Bar M1 16GB/256GB",39999000,Apple M1 - --,16 GB,Yes,Apple M1,--,SSD 256 GB,Yes,"13.3""",2560 x 1600 Pixel,--,"IPS LCD LED Backlit, True Tone",1.4,304.1,212.4,15.6,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
2019,5,1,34,Microsoft Surface Pro 7 Core i7-1065G7,39999000,Intel Core i7 - 1065G7,16 GB,Yes,Intel Iris Plus Graphics,65 W,SSD 256 GB,Yes,"12.3""",2736 x 1824 Pixel,60 Hz,--,0.775,201,8.5,292,Windows 10,Hợp kim Magie,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
