Ryzen 3-4300U,Độ phân giải màn hình,Core i5-10210U,Core i7-9750HGTX 1650 4GB144Hz,Core i5-10300HGTX 1650 4GB 144Hz,8GB - 512GB VGA 3050,Ryzen 7-5800H  RTX3050 4GB - 165Hz,Loại card đồ họa,15 Inches512GB,Độ phân giải ,R5-5500U  8GB - 256GB,7GPU  16GB - 256GB,"Core i5-1135G7512GB - 14""",1star,Core i5-10210U8GB - 512GB,Cổng giao tiếp,Core i5-1035G7 8 GB / 128 GB,Loại RAM,M1 Pro  10 CPU - 16 GPU  16GB - 512GB,Core i5 1.4Ghz512GB,8GB - 256GB  VGA 1650,Chất liệu,Core i7-1065G716GB - 256GB,Kích thước màn hình,Core i7-1165G7  16GB - 1TB SSD,8GPU16GB - 512GB,Core i716GB - 1TB,Ryzen 5-4600HGTX1 650Ti 4GB - 144Hz,Kích thước, Core i5-10300HGTX 1650 4GB120Hz,I5-1135G7 8GB - 256GB,Ryzen 5-5600HGTX1650 4GB - 144Hz,3star,8GPU8GB - 512GB,Trọng lượng,Core i5-1035G48GB - 256GB,Core i7-10510U,Core i7-10750HGTX 1660Ti 6GB144Hz,Core i716GB - 512GB,R5-5600H - 144Hz - VGA 4GB RX5500M,special_price,Core i5-10300H  GTX1650TI - 144HZ,Ryzen 5-4680U 8 GB / 256 GB,Chất liệu tấm nền,Ryzen 5-5600H RTX3050 4GB - 165Hz,"i5-1135G 14""Intel Iris Xe Graphics",Core i7-10510U8GB - 1TB,17 Inches512GB,Core i5 2Ghz512GB,128GB,Pin,"Core i7-10750HRTX 2060 16GB15.6"" 144Hz",M1 Max  10 CPU - 32 GPU,16GB - 256GB,14 Inches256GB,Core i5-1035G7  8 GB / 256 GB,I5-11400H - VGA 4GB RTX3050TI - 144Hz,Core i7-10750HGTX 1650Ti 4GB144Hz,Core i3-10110U,Bluetooth,I3-1115G48GB - 128GB,Core i7-11370HRTX 3050Ti 4GB144Hz,Ryzen 5-4600HGTX 1650 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050 - 144Hz,Ryzen 7-3700U8GB - 512GB,Đèn bàn phím,Core i58GB - 256GB,Hệ điều hành,5star,"i7-1165G7 14""Intel Iris Xe Graphics",Core i7-11370HGTX1650 4GB - 144Hz,Màn hình cảm ứng,4star,M1 Pro  8 CPU - 14 GPU  16GB - 512GB ,Ryzen 7-3750H8GB - 512GB,"Core i5-1135G7256GB - 14""",Core i3-1115G48GB - 512GB,Core i7-1165G78GB - 512GB,Ryzen 5-3550H8GB - 512GB,"i5-10210U 13.3""Intel UHD Graphics",Core i5-1135G716GB - 512GB,Loại CPU,7GPU8GB - 256GB,R7-5800H - 144Hz - VGA 4GB RX5500M,Core i7-9750HGTX 1650 4GB120Hz,Wi-Fi,R5-4600H  GTX 1650 4GB,8GPU8GB - 256GB,Ryzen 3-3250U4GB - 256GB,old_price,Core i516GB - 512GB,Core i7-10750HGTX 1650Ti 4GB 120Hz,256 GB,I5-1135G7 - 8GB - 512GB ,Core i7-10750HGTX1650 4GB - 144Hz,Công nghệ âm thanh,I7-11370H - /VGA 4GB RTX3050 - 120Hz,14 Inches512GB,I3-1115G4 4GB - 128GB,Core i5 1.4Ghz256GB,Core i5-1135G78GB - 128GB,Core i7-10870HGTX 1650Ti144Hz,comment_count,8GPU16GB - 256GB,8GB - 512GB,2star,Ryzen 5-3500U8GB - 512GB,Core i7-1165G716GB - 1TB,PENT N5030  4GB - 128GB,url,Dung lượng RAM,Webcam,Core i5-1135G78GB - 512GB,"Core i5-1135G7512GB - 15.6""VGA 2GB",I5-11400H - VGA 6GB RTX3060 - 144Hz,R5-4600H - 144Hz - VGA 3GB RX5300M ,"Core i7-10750HRTX 2070 8GB15.6"" 300Hz",I5-11300H - VGA 4GB RTX3050 - 120HZ,Core i7-10750HGTX 1650Ti 4GB - 120Hz,I3-1005G1  4GB - 128GB,Core i5-10300HGTX 1650Ti 4GB120Hz,"Core i5-1135G7512GB - 15.6""",I5-11400H - VGA 4GB RTX3050 - 144Hz,M1 Pro  10 CPU - 16 GPU  16GB - 1TB,Khe đọc thẻ nhớ,Tính năng đặc biệt,16GB - 512GB,"i5-1035G 15.6""NVIDIA GeForce MX350 2GB",Core i3-1115G44GB - 256GB,Công nghệ màn hình,Ryzen 7-4800HGTX 1650 4GB120Hz,R5-4600H1650Ti 4GB + 144Hz,I5-1035G1  8GB - 256GB,Core i5-10300HGTX1650TI 4GB144Hz,item_name,8GB - 256GB,Ryzen 5-3500U4GB - 256GB,Ryzen 5-4500U8GB - 512GB,"Core i3-1115G4256GB - 14""",Core i5-1035G48GB - 128GB,Ryzen 7-5800HRTX 3060 6G - 144Hz,Core i5-11300HGTX1650 4GB - 144Hz,Core i716GB - 256GB,Ryzen 5-4500U,Core i7-10870HGTX 1660Ti 6GB144Hz,Ryzen 7-4800HGTX 1650Ti 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050TI - 144Hz,Core i3-1005G14GB - 128GB,Ryzen 5 Pro-4650U8GB - 512GB,Ryzen 7-4800HGTX 1660Ti 6GB144Hz,"Core i5-10300HGTX 1650 4GB15.6"" 120Hz",Core i58GB - 512GB,I7-1165G7 - 16GB - 512GB,Ổ cứng
,1920 x 1080 pixels (FullHD),,,,,,"Nvidia Geforce GTX 1650 MaxQ, GDDR6 4GB",,Full HD,,,,1,,1x Mic-in 1x Headphone-out 1x TYPE-C USB3.1 GEN1 3x TYPE-A USB3.1 GEN1 1x RJ451x HDMI (4K @ 30Hz),,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,,,,,,0,,1.86 kg,,,,,,20.490.000,,,Tấm nền IPS,,,,,,,"3 cell, 51Wh",,,,,,,,,v5.0,,,,,,Có,,Windows 10,0,,,Không,0,,,,,,,,,Intel® Core™ i5 10500H,,,,Intel Wi-Fi 6 AX201(2x2ax),,,,20.990.000,,,,,,2x2W Speaker,,,,,,,209,,,0,,,,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-10sc-468vn.html,8GB,HD type (30fps@720p),,,,,,,,,,,,,Có,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6",,,,"Tần số quét 144Hz, 45% NTSC",,,,,Laptop MSI Gaming GF63 THIN 10SC-468VN,,,,,,,,,,,,,,,,,,,512GB NVMe PCIe Gen3x4 SSD
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon Graphics,,Full HD,,,,0,,1x Type-A USB 3.2 (Gen 1) 1x Type-C USB 3.2 (Gen 1) 2x Type-A USB 2.0 1x HDMI 1.4,,8GB DDR4 (4GB + 4GB Onboard),,,,Vỏ nhựa,,15.6 inches,,,,,35.98 x 23.53 x 1.86 ~ 1.86 (cm),,,,0,,1.8kg,,,,,,20.590.000,,,Tấm nền OLED/AMOLED,,,,,,,3 Cells 42WHrs,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,AMD Ryzen 7-5700U 1.8GHz up to 4.3GHz 8MB,,,,Wi-Fi 6 (802.11 ax (2x2)),,,,20.790.000,,,,,,Harman Kardon,,,,,,,49,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-m513ua-l1240t.html,8GB,720p HD camera,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"15.6"", 1920 x 1080 Pixel, OLED, 60 Hz, 400 nits",,,,,Laptop ASUS VivoBook M513UA-L1240T,,,,,,,,,,,,,,,,,,,"512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe 2.5"" SATA)"
,1920 x 1080 pixels (FullHD),,,,,,Intel® UHD Graphics,,Full HD,,,,0,,1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in//1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 2.0 Type-A//N/A,,"4GB DDR4, trống 1 khe tối đa 20GB",,,,Vỏ nhựa,,15.6 inches,,,,,36.00 x 23.50 x 1.99 ~ 1.99 cm,,,,0,,1.80 kg,,,,,,12.990.000,,,Tấm nền IPS,,,,,,,"37WHrs, 2S1P, 2-cell Li-ion",,,,,,,,,v4.1,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,," Core i3-1115G4 (up to 4.1Ghz, 6MB)",,,,Wi-Fi 5(802.11ac),,,,13.990.000,,,,,,SonicMaster,,,,,,,90,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-bq1006t.html,4GB,VGA,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,"Màn hình chống lóa, 250nits, LED Backlit, NTSC: 45%",,,,,Laptop ASUS Vivobook X515EA-BQ1006T,,,,,,,,,,,,,,,,,,,512GB M.2 NVMe™ PCIe® 3.0 SSD
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Radeon™ Vega 8 Graphics,,,,,,0,,"2x USB 3.2, 1x USB Type C, 1x USB 2.0, 1x HDMI, 1x RJ45",,"DDR4 2666MHz, 2 khe cắm, hỗ trợ tối đa 32GB",,,,,,15.6 inches,,,,,363.4 x 254.5 x 23.25 (mm),,,,0,,2.1 kg,,,,,,19.160.000,,,,,,,,,,4 Cell 48Whr,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL,0,,,,0,,19.160.000,,,,18.440.000,,,AMD Ryzen 7 3750H 2.3GHz up to 4.0GHz 4MB,,,,Wi-Fi 6(Gig+)(802.11ax) (2x2),,,,21.490.000,,,,,,,,,,,,,155,,,0,,,,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-ryzen-7-ssd-512gb.html,8GB,,,,,,,,,,,,,,,,,,,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare",,,,,Laptop Acer Gaming Aspire 7 A715-41G-R150,,,,,,,,,,,,,,,,,,,512GB PCIe® NVMe™ M.2 SSD
,2560 x 1600 pixels (2K),,,,,,"GPU 8 nhân, 16 nhân Neural Engine",,Retina,,,,0,,2 cổng Thunderbolt / USB 4,,,,,,,,13.3 inches,,,,,1.61 cm x 30.41 cm x 21.24 cm,,,,0,,1.29 kg,,,,,,39.500.000,,,Tấm nền IPS,,,,,,,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",,,33.990.000,,,,,,Bluetooth 5.0,,,,,,,,macOS Big Sur,0,,,Không,0,,,,,,,,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,,802.11ax Wi-Fi 6 wireless networking,,,,40.990.000,,,,,,,,,,,,,13,,33.500.000,0,,,,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,16GB,,,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",39.500.000,,,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,,,,,Apple MacBook Air M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,26.990.000,,,,,,,,,,,,,,,,,,512GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel® Iris® Xe Graphics ,,Full HD,,,,0,,"2 x Thunderbolt™ 4 USB-C® (up to 40 Gbps), 1 x USB 3.2 Gen 1 Type-A (up to 5 Gbps), 1 x Standard HDMI",,"LPDDR4X 4266MHz, không hỗ trợ nâng cấp",,,,,,13.3 inches,,,,,1.39cm x 30.5cm x 21.1cm ,,,,0,,1.3 kg,,,,,,26.990.000,,,Tấm nền OLED/AMOLED,,,,,,,"4-cell, 67Wh",,,,,,,,,Bluetooth 5.0,,,,,,Có,,Windows 10 Home SL,0,,,Có,0,,,,,,,,,"Intel® Core™ i5-1135G7, 4.20Ghz, 8 MB cache, 4 cores 8 threads",,,,Intel Wi-Fi 6 AX201(2*2 ax),,,,27.990.000,,,,,,SonicMaster audio,,,,,,,50,,,0,,37.890.000,,https://cellphones.com.vn/laptop-asus-zenbook-flip-13-ux363ea.html,8GB,HD webcamCamera IR,26.990.000,,,,,,,,,,,,,"Công nghệ Intel Evo, Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng",,,,"13.3 inch LED-backlit FHD OLED (1920 x 1080) 16:9 slim-bezel NanoEdge, 3.9 mm-thin side bezel1",,,,,Laptop ASUS ZenBook Flip UX363EA,,,,,,,,,,,,,,,,,,,512GB PCIe® NVMe™ 3.0 x2 M.2 SSD
,1920 x 1080 pixels (FullHD),,,,,,"Intel Iris Xe Max Graphics, tối đa 4GB",,Full HD,,,,0,,"1x USB 3.2 Gen 1 port with power-off charging, 1x USB Type-C / Thunderbolt 4 port, 1x USB 3.2 Gen 1 port"", Finger Print",,"LPDDR4X 4266MHz Onboard, không hỗ trợ nâng cấp",,,,Vỏ kim loại,,14 inches,,,,,322.8 x 212.2 x 17.95 (mm),,,,0,,1.37 kg,,,,,,20.690.000,,,Tấm nền IPS,,,,,,,4 Cell 58.7Whr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,Intel® Wireless Wi-Fi 6 AX200 (2x2),,,,22.990.000,,,,,,"DTS® Audio, Acer Purified, Acer TrueHarmony technology, 2 loa",,,,,,,68,,,0,,,,https://cellphones.com.vn/laptop-acer-swift-3x-sf314.html,8GB,HD webcam,,,,,,,,,,,,,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,"72% NTSC, 100%sRGB",,,,,Laptop Acer Swift 3X SF314-510G-57MR NX.A10SV.004,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE Gen3x4
,1080 x 1920 pixels (FullHD),,,21.890.000,,,Geforce RTX 3050Ti 4GB,,Full HD,,,,0,,1 x HDMI  1x Thunderbolt™ 4  3x USB 3.2 Gen 1 Type-A  1 x 3.5mm Audio Jack  1x RJ45,,"DDR4 3200MHz, 8GB onboard và 1 khe ram hỗ trợ tối đa 24GB",,,,Vỏ nhựa,,15.6 inches,,,,,36.0 x 25.2 x 1.99 cm,,,,0,,2 kg,,,,,,28.790.000,,,Tấm nền IPS,,,,,,,"4 Cell, 76WHrs",,,,,,,,,v5.0,,28.790.000,,27.090.000,,Có,,Windows 10 SL 64 Bit,0,,,Không,0,,,,,,,,,Intel Core i7 11370H,,,,6 AX201(2*2 ax) ,,,,29.990.000,,,,,,DTS X:Ultra AudioStereo speakers,,,,,,,25,,,0,,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx516pe-hn005t.html,8GB,Không tích hợp,,,,,,,,,,,24.390.000,,,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6",,,,"250 nits, Adaptive-Sync, Chống chói Anti Glare, Tấm nền IPS",,,,,Laptop ASUS TUF Gaming FX516PE-HN005T,,,,,,,,,,25.480.000,,,,,25.990.000,,,, 512GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,1 x USB 2.0 Type-A  1 x USB 3.2 Gen 1 Type-C  2 x USB 2.0 Type-A  1 x HDMI 1.4  1 x Micro SD 4.0 card reader  1 x 3.5mm Combo Audio Jack  1 x Headphone out,,"DDR4 2666MHz, không hỗ trợ nâng cấp",,,,,,14 inches,,,,,32.40 x 21.50 x 1.79 ~ 1.79 cm,,,,0,,1.40 kg,,,,,,14.990.000,,,Tấm nền IPS,,,,,,,3Cell 42WHrs,,,,,,,,,Bluetooth 5.2,,,,,,,,Windows 10 Home,1,,,Không,0,,,,,,,,,"Intel Core i3-1115G4, tốc độ 3.00GHz tối đa 4.10GHz, 2 nhân 4 luồng, 6MB bộ nhớ đệm",,,,Intel Wi-Fi 6(Gig+)(802.11ax) (Dual band) 2*2,,,,15.390.000,,,,,,,,,,,,,50,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea-i3-ssd-256gb.html,8GB,,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,,,,,,Laptop ASUS VivoBook 14 A415EA-EB557T,,,,,,,,,,,,,,,,,,,256GB SSD M.2 NVMe PCIe 3.0
,1920 x 1080 pixels (FullHD),,,,,,Intel® Iris® Xe Graphics,,Full HD,,,,0,,"1 x SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge) 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x Mini DisplayPort™ via Type-C™ 1 x HDMI 2.0 via Type-C™ 1 x microSD med",,"8GB(4GB + 4GB) DDR4 3200Mhz, tối đa 32GB",,,,Vỏ nhựa,,14 inches,,,,,325.12 x 216.66 x 17.02 mm,,,,0,,1.4 kg,,,,,,17.690.000,,,Tấm nền IPS,,,,,,,3Cell 41WHrs,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Core i5 1135G7 (upto 4.20 GHz - 8Mb),,,,Realtek Wi-Fi 5 802.11ac (2x2),,,,18.290.000,,,,,,,,,,,,,16,,,0,,,,https://cellphones.com.vn/laptop-hp-pavilion-14-dv0536tu-4p5g5pa.html,8GB,HD 720p,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,"Màn hình chống loá, 250 Nits",,,,,Laptop HP Pavilion 14-DV0536TU 4P5G5PA,,,,,,,,,,,,,,,,,,,256GB SSD PCIe® NVMe™ M.2 
,1920 x 1080 pixels (FullHD),,,,,29.410.000,"NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1740MHz, TGP 95W",,Full HD,,,,0,,"1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery and DisplayPort 1.4) 1x USB-C 3.2 Gen 2 (support data transfer and DisplayPort 1.4) 3x USB 3.2 Gen 1 1x USB 3.2 Gen 1 (Always On) 1x HDMI 2.1 1x Ethernet (RJ-45) 1x h ",,"DDR4 3200MHz, 2 khe cắm hỗ trợ tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,23.490.000,362.56 x 260.61 x 22.5-25.75 (mm),,,,0,,2.4 kg,,,,,,29.410.000,24.990.000,,Tấm nền IPS,27.290.000,,,,,,4 Cell 60 WHr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,,,,802.11ax 2x2,,,,30.990.000,,,,,,"Stereo speakers, 2W x2, Nahimic Audio",,,,,,,71,,,0,,,,https://cellphones.com.vn/laptop-lenovo-legion-5-15ach6-82jw0038vn.html,8GB,720p với màn trập bảo vệ,,,,,,,25.900.000,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,"Tần số quét 165Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer",,,,,Laptop Lenovo Gaming Legion 5 15ACH6,,,,,,,,,,,24.590.000,,,,,,,,512GB SSD M.2 2280 PCIe 3.0x4 NVMe (Còn trống 1 khe SSD M.2 PCIE)
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce RTX 3050 4GB GDDR6,,Full HD,,,,0,,1 x USB Type-C hỗ trợ: USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB-C Thunderbolt 4 USB charging 5 V; 3 A 1 x USB 3.2 Gen 2 hỗ trợ sạc 2 x USB 3.2 Gen 1 1 x HDMI 1 x combo jack tai nghe 3.5 mm,,"DDR4 3200MH, 2 khe cắm hỗ trợ tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,,363.4 (W) x 255 (D) x 23.9 (H) mm,,,,0,,2.2 kg,,,,,,26.230.000,,,Tấm nền IPS,,,,,,,"4-cell, 57.5 Wh",,,,,,Giá liên ,,,v5.1,,,,26.230.000,,Có,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"Intel Core i7-11800H (2.30GHz up to 4.60GHz, 24MB Cache)",,,,KillerTM Wi-Fi 6 AX 1650i,,,,27.990.000,,,,,,"2 Loa, Acer TrueHarmony",,,,,,,73,,,0,,,,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74rd.html,8GB,HD Web Camera,,,Giá liên ,,,,,,,,24.390.000,,Có,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,Tần số quét 144Hz,,,,,Laptop Gaming Acer Nitro 5 Eagle AN515-57-74RD NH.QD8SV.001,,,,,,,,,,,,27.390.000,,,,,,,512GB PCIe NVMe SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics ,,Full HD,,,,0,,"1 x Type-A USB 3.2 Gen 1, 1 x Type-C USB 3.2, 2 x USB 2.0 port(s), 1 x HDMI 1.4",,"DDR4 2666MHz, không hỗ trợ nâng cấp",,,,,,14 inches,,,,,324 x 215 x 17.9 mm,,,,0,,1.4 kg,,,,,,18.290.000,,,,,,,,,,3 Cells 42WHrs,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,Intel Core i5-1135G7 0.9GHz up to 4.2GHz 8MB,,,,802.11 AX (2x2),,,,18.790.000,,,,,,,,,,,,,67,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea.html,8GB,,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,"Anti-Glare with 45% NTSC, NanoEdge",,,,,Laptop ASUS VivoBook 14 A415EA-EB360T,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE)
,1366 x 768 pixels (HD+),,,,,,Intel UHD Graphics 605 with shared graphics memory,,HD,,,,0,,1 USB 2.0 Gen 1 Type-A 1 HDMI 1.4 1 RJ45 2 USB 3.2 Gen 1 Type-A 1 Audio Jack,,"DDR4, 2400MHz",,,,Vỏ nhựa,,15.6 inches,,,,,19.9 mm x 363.96 mm x 249.0 mm,,,,0,,1.77 kg,,,,,,9.990.000,,,Tấm nền IPS,,,,,,,"3-Cell, 42 WHr",,,,,,,,,,,,,,,Không,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Intel Pentium Silver N5030 Processor (4MB Cache, up to 3.1 GHz)",,,,802.11ac,,,,10.990.000,,,,,,,,,,,,,84,,,0,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3502-pent.html,4GB,Có,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,Màn hình chống chói,,,,,Laptop Dell Inspiron 15 3502,,,,,,,,,,,,,,,,,,,128GB M.2 PCIe NVMe Solid State Drive
,2256 x 1504 pixels,,,,,, AMD Radeon™ Graphics,,2K (Quad HD),,,,0,,1 x USB-C  1 x USB-A  Jack cắm 3.5 mm  1 x cổng kết nối Surface,Giá liên ,LPDDR4,,,,,,13.5 inches,,,,,308 x 223 x 14.5 mm,,,,0,,1.27 kg,,,,,,26.990.000,,26.990.000,Tấm nền IPS,,,,,,,"47.4 Wh, thời lượng pin lên đến 19 giờ (đối với các tác vụ thông thường)",,,,,26.990.000,,,,5.0 ,,,,,,,,Window 10 Home,0,,,Có,0,,,,,,,,,AMD Ryzen™ 5 4680U 6 nhân,,,,Wi-Fi 6: 802.11ax,,,,29.990.000,,,,,,Loa 2W với Dolby® Audio™ và Dual far-field Studio Mics,,,,,,,35,,,0,,,,https://cellphones.com.vn/surface-laptop-4.html,8GB,HD 720p Camera,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",,,,"PixelSense™ Display, Tỉ lệ khung ảnh 3:2",,,,,Surface Laptop 4 Ryzen 5 / 8GB / 256 GB / 13.5 inches Chính Hãng,,,,,,,,,,,,,,,,,,,256GB
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,1x Type-C USB3.2 Gen2 2x Type-A USB2.0 1x (4K @ 30Hz) HDMI,,"DDR4 2666MHz, 1 khe cắm",,,,Vỏ nhựa,,14 inches,,,,,319 x 220.2 x 16.9 (mm),,,,0,,1.3 kg,,,,,,19.790.000,,,Tấm nền IPS,,,,,,,3 Cell 39WHr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,,0,,,,,,,,,Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,,,,Intel Wi-Fi 6 AX201(2*2 ax),,,,19.990.000,,,,,,2x 2W Speaker,,,,,,,64,,,0,,,,https://cellphones.com.vn/laptop-msi-modern-14-b10mw-647vn.html,8GB,HD type (30fps@720p),,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,100% sRGB,,,,,Laptop MSI Modern 14 B10MW,,,,,,,,,,,,,,,,,,,512GB PCIe NVMe™ M.2 SSD (1 slot)
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,1x Type-C USB 3.2 Gen1 2x Type-A USB 3.2 Gen2 1x Type-A USB 2.0 1x Mic-in/Headphone-out Combo Jack 1x (4K @ 60Hz) HDMI,,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",,,,Vỏ nhựa,,15.6 inches,,,,,356.8 x 233.75 x 16.9 (mm),,,,0,,1.6 kg,,,,,,18.190.000,,,Tấm nền IPS,,,,,,,3 Cell 52WHr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Không,1,,,,,,,,,Intel Core i5-1155G7 2.5GHz up to 4.5GHz 8MB,,,,802.11 AX,,,,18.990.000,,,,,,2x 2W Speaker,,,,,,,99,,,0,,,,https://cellphones.com.vn/laptop-msi-modern-15-a11m-684vn.html,8GB,HD type (30fps@720p),,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,,,,,,Laptop MSI Modern 15 A11M,,,,,,,,,,,,,,,,,,,512GB PCIe NVMe™ M.2 SSD (2 slots)
,1920 x 1080 pixels (FullHD),,,,,,Radeon RX5500M 4GB,,Full HD,,,,0,,1x (4K @ 30Hz) HDMI 1x RJ45 1x Type-C USB3.2 Gen1 3x Type-A USB3.2 Gen1,,"DDR4 3200MHz (1 x 8GB), 2 khe cắm hỗ trợ tối đa 32GB",,,,,,15.6 inches,,,,,359 x 254 x 21.7 mm,,,,0,,1.9 kg,,,,,21.190.000,23.990.000,,,Tấm nền IPS,,,,,,,3 Cell,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL,1,,,Không,0,,,,,,,,,AMD Ryzen 7 5800H,,23.990.000,,Intel Wi-Fi 6 AX201(2*2 ax),,,,24.990.000,,,,,,"2 loa, Realtek High Definition Audio",,,,,,,66,,,0,,,,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-028vn.html,8GB,720p FaceTime HD camera,,,,19.090.000,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,Tần số quét 144Hz,,,,,Laptop MSI Gaming Bravo 15 B5DD-028VN,,,,,,,,,,,,,,,,,,, 512GB SSD NVMe M.2 PCIe Gen 3 x 4
